idpoint|longitude|latitude|sog|cog|ts|route
332|-4.81032|48.375446|16.3|137.4|1454603688|R_01
333|-4.838848|48.37565|16.4|111.4|1458664101|R_01
334|-4.809243|48.37568|14.1|140.8|1458923703|R_01
335|-4.810685|48.375706|16.5|136.5|1450802256|R_01
336|-4.810852|48.375774|15.3|133.5|1452848614|R_01
337|-4.841255|48.376072|15.2|116.1|1447518308|R_01
338|-4.840076|48.376095|15.4|119|1453739618|R_01
339|-4.84095|48.37632|14.6|117.7|1445187798|R_01
340|-4.810058|48.376335|13.9|134.6|1456502854|R_01
341|-4.810817|48.3765|13.9|138.9|1458388389|R_01
342|-4.810992|48.376553|12.8|144.4|1452609249|R_01
343|-4.812033|48.37662|15.8|139.2|1457022611|R_01
344|-4.84578|48.376747|15.5|112.2|1457713086|R_01
345|-4.842345|48.376846|16.3|116.5|1447173160|R_01
346|-4.81213|48.377075|13.2|137.4|1450370248|R_01
347|-4.813115|48.37716|16.4|136.4|1446822488|R_01
348|-4.811568|48.37716|13.8|132.1|1456054798|R_01
349|-4.844099|48.37727|16.4|116.4|1445963302|R_01
350|-4.84409|48.377422|14.3|110.6|1458578153|R_01
351|-4.811843|48.377506|13.8|132|1449921067|R_01
352|-4.845515|48.377533|15|117.7|1449401243|R_01
353|-4.812142|48.377533|13|135.3|1452517782|R_01
354|-4.844035|48.37764|15.9|109.7|1458836991|R_01
355|-4.812335|48.377678|13.5|139|1455969038|R_01
356|-4.813575|48.37778|13.6|133.9|1445683876|R_01
357|-4.813211|48.37821|13.1|140.2|1455554433|R_01
358|-4.849212|48.37829|14.9|114.3|1448191650|R_01
359|-4.813618|48.378334|13|141.2|1458473781|R_01
360|-4.814078|48.37837|16.8|134.9|1445164375|R_01
361|-4.813428|48.37844|13.1|131.4|1453998964|R_01
362|-4.813192|48.378567|12.7|136.5|1452789239|R_01
363|-4.847903|48.378643|15.1|116.5|1449219452|R_01
364|-4.848518|48.37874|15.9|107|1446136109|R_01
365|-4.849365|48.379074|15.6|119.6|1447345714|R_01
366|-4.815033|48.379074|14.4|145.7|1457787916|R_01
367|-4.814572|48.379093|13.8|132.1|1446482231|R_01
368|-4.815518|48.379234|16.5|138.3|1454240013|R_01
369|-4.814213|48.379265|13.8|131.8|1451574850|R_01
370|-4.815958|48.379414|14.4|142.9|1457080181|R_01
371|-4.806833|48.379646|15.6|168.5|1455535018|R_01
